question,answer
Greenwich Vietnam là gì?,"Greenwich Vietnam là chương trình liên kết quốc tế giữa University of Greenwich (UK) và FPT University Việt Nam, thành lập năm 2009."
Greenwich Vietnam thuộc trường nào?,Greenwich Vietnam là chương trình liên kết giữa University of Greenwich Vương quốc Anh và Đại học FPT Việt Nam.
Greenwich Vietnam có phải trường quốc tế không?,Có. Greenwich Vietnam đào tạo theo chương trình quốc tế của University of Greenwich UK và cấp bằng Anh Quốc.
Bằng của Greenwich Vietnam do ai cấp?,"Bằng được cấp trực tiếp bởi University of Greenwich, United Kingdom."
Học ở Greenwich Vietnam có được bằng quốc tế không?,Có. Sinh viên nhận bằng quốc tế từ University of Greenwich UK.
Greenwich Vietnam có bao nhiêu campus?,"Greenwich Vietnam có 4 campus tại Hà Nội, TP.HCM, Đà Nẵng và Cần Thơ."
Campus TP.HCM của Greenwich ở đâu?,"Campus TP.HCM nằm tại Cong Hoa Garden, 20 Cong Hoa, Bay Hien Ward, Ho Chi Minh City."
Campus Hà Nội của Greenwich ở đâu?,"Campus Hà Nội nằm tại Golden Park Tower, 2 Pham Van Bach, Cau Giay Ward, Hanoi."
Campus Đà Nẵng của Greenwich ở đâu?,"Campus Đà Nẵng nằm tại 658 Ngo Quyen, An Hai Ward, Da Nang."
Campus Cần Thơ của Greenwich ở đâu?,"Campus Cần Thơ nằm tại Gamma Building, FPT University Can Tho, 600 Nguyen Van Cu, An Binh Ward, Can Tho."
Greenwich Vietnam đào tạo ngành gì?,"Greenwich Vietnam đào tạo các ngành Computing, Artificial Intelligence, Business Management, Marketing, International Business, Graphic and Digital Design, Public Relations & Communications và Events Management."
Greenwich Vietnam có ngành AI không?,Có. Greenwich Vietnam đào tạo Artificial Intelligence pathway thuộc chương trình BSc Hons in Computing.
Greenwich Vietnam có ngành CNTT không?Greenwich Vietnam có ngành thiết kế đồ họa không?,Có. Ngành Computing là một trong những ngành đào tạo chính của trường.
Greenwich Vietnam có ngành Marketing không?,Có. Trường đào tạo ngành Graphic and Digital Design.
Greenwich Vietnam có ngành Quản Trị Kinh Doanh không?,Có. Trường đào tạo Marketing pathway thuộc Business Management.
Ngôn ngữ học tại Greenwich Vietnam là gì?,Toàn bộ chương trình chuyên ngành được giảng dạy bằng tiếng Anh.
Thời gian học tại Greenwich Vietnam là bao lâu?,Chương trình học kéo dài 3 năm với 3 học kỳ mỗi năm.
Greenwich Vietnam có yêu cầu IELTS không?,Không bắt buộc. Sinh viên chưa có IELTS sẽ học chương trình tiếng Anh Global Personal Competency Program.
IELTS bao nhiêu thì được vào chuyên ngành?,Sinh viên có IELTS 6.0 hoặc TOEFL iBT 60+ có thể vào thẳng chương trình chuyên ngành.
Học phí Greenwich Vietnam bao nhiêu?,Học phí chương trình chuyên ngành khoảng 375.300.000 VND cho toàn khóa 3 năm theo mức năm 2025.
Học phí tiếng Anh ở Greenwich là bao nhiêu?,Chương trình tiếng Anh GPCP có học phí khoảng 22.000.000 VND mỗi level.
Greenwich Vietnam có học bổng không?,Có. Trường thường có học bổng đầu vào và các chương trình hỗ trợ học phí.
Greenwich Vietnam xét tuyển như thế nào?,Trường xét tuyển học bạ THPT hoặc các điều kiện tương đương.
Điều kiện vào Greenwich Vietnam là gì?,Ứng viên cần tốt nghiệp THPT hoặc chương trình tương đương.
Greenwich Vietnam có ký túc xá không?,"Tùy campus, sinh viên có thể được hỗ trợ thông tin ký túc xá hoặc nhà ở gần trường."
Greenwich Vietnam có thực tập không?,Có. Sinh viên sẽ tham gia chương trình OJT (On the Job Training) để thực tập thực tế.
OJT ở Greenwich là gì?,OJT là chương trình thực tập doanh nghiệp giúp sinh viên có kinh nghiệm thực tế trước khi tốt nghiệp.
Greenwich Vietnam có được chuyển campus không?,"Có. Sinh viên có thể chuyển giữa các campus Hà Nội, TP.HCM, Đà Nẵng và Cần Thơ."
Greenwich Vietnam có được chuyển sang UK không?,Có. Sinh viên có thể đăng ký chuyển sang campus London của University of Greenwich cho năm cuối.
Greenwich Vietnam có hoạt động ngoại khóa không?,"Có. Trường có nhiều workshop, CLB và hoạt động ngoại khóa phát triển kỹ năng mềm."
